"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15","original_df"
"Food products","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"Fabricated metal products","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"Textiles","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"Food products1","$1006.63^{***}$","$386.83^{}$","$-372.22^{}$","$-1389.11^{}$","$-2184.19^{}$","$-1319.28^{}$","$-2591.65^{}$","$-3090.63^{}$","$-2993.37^{}$","$-3547.76^{}$","0","0","0","0","0","df.3"
"21","194.19","-769.03","-1120.59","-1281.9","-1372.83","-1416.39","-1464.61","-1498.61","-1507.78","-1600.35","0","0","0","0","0","df.3"
"31","297","-558.73","-802.81","-856.63","-840.08","-776.15","-716.89","-643.4","-545.09","-530.16","0","0","0","0","0","df.3"
"Fabricated metal products1","$239.65^{***}$","$116.28^{***}$","$-36.63^{}$","$-252.96^{}$","$-758.07^{}$","$-1012.35^{}$","$-1241.83^{}$","$-1100.9^{}$","$-1082.14^{}$","$-1186.84^{}$","0","0","0","0","0","df.3"
"51","592.36","396.12","316.16","260.48","220.24","201.74","198.21","179.05","106.44","91.11","0","0","0","0","0","df.3"
"61","667.51","549.84","548.45","571.35","609.68","669.75","744.78","804.2","810.16","873.4","0","0","0","0","0","df.3"
"Textiles1","$216.53^{***}$","$145.93^{***}$","$-186.67^{}$","$-433.4^{}$","$-840.4^{}$","$-906.97^{}$","$-996.7^{}$","$-1039.57^{}$","$-1278.66^{}$","$-1181.81^{}$","0","0","0","0","0","df.3"
"81","412.14","238.2","81.71","36.97","-26.95","-71.75","-77.79","-104.93","-175.62","-145.38","0","0","0","0","0","df.3"
"91","484.26","385.72","304.62","335.28","346.76","377.35","446.7","494.96","499.68","605.31","0","0","0","0","0","df.3"
"Food products2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"Fabricated metal products2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"Textiles2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"Food products3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"Fabricated metal products3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"Textiles3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
