"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10"
"Food products","$1007.33^{***}$","$392.15^{***}$","$125.31^{***}$","$94.44^{***}$","$50.76^{***}$","$46.62^{**}$","$14.7^{*}$","$12.3^{}$","$12.59^{}$","$6.92^{}$"
"2","6596.21","5585.95","5200.01","5082.34","4994.85","4948.36","4907.29","4891.76","4877.18","4868.94"
"3","6647.66","5656.1","5288.88","5189.91","5121.13","5093.35","5070.99","5074.17","5078.29","5088.76"
"Fabricated metal products","$176.39^{***}$","$70.12^{***}$","$33.48^{**}$","$32.24^{**}$","$17.45^{**}$","$14.36^{**}$","$6.56^{}$","$4.15^{}$","$4.94^{}$","$6.79^{}$"
"5","1877.56","1708","1642.51","1616.61","1589.72","1574.32","1566.41","1567.15","1562.71","1566.02"
"6","1904.89","1748.99","1697.17","1684.93","1671.71","1669.97","1675.72","1690.13","1699.35","1716.33"
"Textiles","$198.62^{***}$","$96.37^{***}$","$54.05^{***}$","$34.24^{**}$","$19.29^{***}$","$15.76^{**}$","$11.74^{**}$","$11.42^{**}$","$4.94^{}$","$6.37^{}$"
"8","1669.43","1476.77","1387.36","1337.35","1308.61","1296.52","1287.36","1280.25","1274.71","1275.13"
"9","1695.65","1516.11","1439.81","1402.91","1387.29","1388.31","1392.26","1398.26","1405.83","1419.36"
