"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,2",2,2.6,1,0.4
"400,2",2.6,2.8,1.4,1.4
"200,3",4.2,3.2,1.4,1.2
"400,3",6,2.6,3.2,1.6
"200,5",4.6,3.6,3.6,1.6
"400,5",2.2,4.2,2.4,1.8
"200,8",2.4,4.2,3,4.6
"400,8",4.6,3,2.8,4.4
"200,2",2.6,4.4,1.6,2.2
"400,2",3.6,4.2,1.8,3.2
"200,3",4.6,4,3.6,2.4
"400,3",6.6,4.2,3.8,2.2
"200,5",4.8,3.8,4,2.2
"400,5",2.2,4.2,2.6,2
"200,8",2.4,4.6,3.2,4.6
"400,8",4.6,3.4,2.8,4.6
"200,2",4.2,6.2,3,4.8
"400,2",4.2,5,3.8,4.2
"200,3",4.8,4.8,4,2.8
"400,3",6.8,4.4,3.8,2.4
"200,5",5,4.2,4.2,2.8
"400,5",2.2,4.2,2.6,2
"200,8",2.8,4.6,3.2,4.6
"400,8",4.6,3.6,2.8,4.6
